,常绿林,夜间灯光,降水数值,县均年降雪量,公立学校,GDP,人均收入,移民,就业,% in Poverty,Clinical Care Rank,Length of Life Rank
25,0.3849069436525616,0.046918838522124195,0.30048419253773906,1.0,0.08571428571428572,0.10961693880216787,0.21253478793276182,0.7475835719768203,0.12398955310905409,0.3913043478260869,0.18309859154929578,0.3857142857142857
26,0.12671630808976628,0.23172092079910758,0.8339504414696668,0.0919540229885058,0.14285714285714285,0.06331197636923093,0.29442279861961473,0.8069683154346733,0.0741046138134947,0.21739130434782605,0.6901408450704226,0.44285714285714284
27,0.10369798871318657,0.15833417841327788,0.35346055254913145,0.03448275862068967,0.22857142857142854,0.15159294774988855,0.268796615829901,0.8075472443969655,0.15191980596659618,0.17391304347826086,0.23943661971830985,0.1857142857142857
28,0.12553739070736342,0.38856775850995506,0.3215608088863573,0.08045977011494254,0.02857142857142857,0.0007620307212060314,0.16867416230657917,0.8113163397280118,0.0014662908361997885,0.3913043478260869,0.3943661971830986,0.6
29,0.01752069412844217,0.13372545042761044,0.5422956422671605,0.04597701149425287,0.22857142857142854,0.22216115880410736,0.2785261048647444,0.7649184988525028,0.22551725565557001,0.13043478260869568,0.04225352112676056,0.17142857142857143
30,0.027948657103527386,0.11949430416117364,0.7986328681287382,0.11494252873563221,0.22857142857142854,0.13095058501580564,0.13685851051987086,0.8510533096023466,0.14119690733386928,0.30434782608695654,0.8732394366197184,0.8714285714285714
31,0.04200445550411162,0.07193320488118177,0.6362859584164058,0.08045977011494254,0.19999999999999998,0.05931616581217119,0.17014360458644096,0.8741382082382398,0.07256414591146364,0.17391304347826086,0.46478873239436624,0.39999999999999997
32,0.2826394840084694,0.14163539870871783,0.2691540871546567,0.0,0.08571428571428572,0.02799315192095228,0.22402315484804636,0.8033859268192561,0.03533760915241489,0.21739130434782605,0.14084507042253522,0.6428571428571429
33,0.21388982047850086,0.04009059257005712,0.21589290800341798,0.2528735632183908,0.08571428571428572,0.03125573854168469,0.04426138261159973,0.8157408744568955,0.040203969680555604,0.3913043478260869,0.22535211267605634,0.21428571428571427
34,0.24068859719847283,0.1192914849744786,0.3981771575049846,0.24137931034482757,0.1714285714285714,0.03337837402443799,0.14195702994545256,0.8404966759935013,0.04137182720538767,0.2608695652173913,0.26760563380281693,0.7000000000000001
